Scenario,Horizon,Model,Lookback,Scaled MSE,Real MSE,Real MAE,Naive_MSE,Improvement_vs_Naive_Pct,Beats Naive,Checkpoint_File,Checkpoint_Exists
With Sentiment,1,Informer_Base,32,0.036294394521974,8.318039894104004,2.068693161010742,11.360330831861567,26.77995018617813,True,Informer_Base_L32_H1.pth,True
With Sentiment,16,Informer_FullAttn,32,0.1002840232104063,22.983348846435547,3.618061780929565,96.82427932570688,76.26282477236734,True,Informer_FullAttn_L32_H16.pth,True
Without Sentiment,1,Informer_NoDistil,32,0.0318861741106957,7.307754993438721,2.009101152420044,11.360330831861567,35.67304419565719,True,Informer_NoDistil_L32_H1.pth,True
Without Sentiment,16,Informer_FullAttn,32,0.1252247602678835,28.69932556152344,4.157485008239746,96.82427932570688,70.35937085058815,True,Informer_FullAttn_L32_H16.pth,True
